census_id,csdname,county,system,board_number,board_name,split,n_sources,evidence
3543074,Midland,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,4,crawl|harvest|schools|sections
3543074,Midland,Simcoe,public,B66109,Simcoe County District School Board,0,4,crawl|harvest|schools|sections
3524009,Milton,Halton,catholic,B67113,Halton Catholic District School Board,0,1,schools
3524009,Milton,Halton,public,B66133,Halton District School Board,0,1,schools
3546015,Minden Hills,Haliburton,public,B66087,Trillium Lakelands District School Board,0,1,schools
3523043,Minto,Wellington,catholic,B67130,Wellington Catholic District School Board,0,2,crawl|sections
3523043,Minto,Wellington,public,B66117,Upper Grand District School Board,0,3,crawl|schools|sections
3521005,Mississauga,Peel,catholic,B67083,Dufferin-Peel Catholic District School Board,0,1,schools
3521005,Mississauga,Peel,public,B66125,Peel District School Board,0,1,schools
3509030,Mississippi Mills,Lanark,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,schools
3509030,Mississippi Mills,Lanark,public,B66192,Upper Canada District School Board,0,1,schools
3522012,Mono,Dufferin,catholic,B67083,Dufferin-Peel Catholic District School Board,0,2,crawl|harvest
3522012,Mono,Dufferin,public,B66117,Upper Grand District School Board,0,3,crawl|harvest|schools
3509001,Montague,Lanark,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,county-inference
3509001,Montague,Lanark,public,B66192,Upper Canada District School Board,0,1,county-inference
